bin,low,high,numu_flux,numubar_flux,nue_flux,nuebar_flux
189,9.450000000000001,9.5,144489.18913650513,13714.200134277344,2080.974573135376,1378.1321563720703
190,9.5,9.55,138200.23946380615,9312.114456176758,1791.5190725326538,1209.177809715271
191,9.55,9.600000000000001,136391.8519630432,8231.357391357422,2267.6982526779175,1524.0416259765625
192,9.600000000000001,9.65,139589.55741882324,10111.974784851074,2036.9287567138672,1356.6267948150635
193,9.65,9.700000000000001,128768.62938308716,14393.478889465332,2302.188217163086,907.6849327087402
194,9.700000000000001,9.75,138118.49057006836,11970.076278686523,2329.835645675659,1287.6403198242188
195,9.75,9.8,136072.6870803833,9250.59521484375,1985.4420490264893,1093.1519012451172
196,9.8,9.850000000000001,114996.84758758545,6285.4189453125,1600.9202194213867,1210.7074909210205
197,9.850000000000001,9.9,113131.163646698,10590.242614746094,2423.7936601638794,806.8732013702393
198,9.9,9.950000000000001,113341.12813568115,10634.466003417969,1933.8178262710571,1005.9910573959351
199,9.950000000000001,10.0,108123.05535888672,10137.869983673096,1768.9454326629639,743.4414138793945
200,10.0,10.05,124686.27628326416,10892.540832519531,916.8920612335205,249.03385734558105
201,10.05,10.100000000000001,106901.71361541748,8801.237426757812,1254.710680961609,92.65031433105469
202,10.100000000000001,10.15,95689.96315002441,8237.55574798584,1659.9892654418945,782.9209289550781
203,10.15,10.200000000000001,93798.12361526489,5993.843322753906,2414.223217010498,1293.5868911743164
204,10.200000000000001,10.25,94682.93671417236,6884.698989868164,551.7770318984985,122.47794246673584
205,10.25,10.3,89463.35038375854,6096.517639160156,1113.704493522644,555.4361114501953
206,10.3,10.350000000000001,88753.47401428223,8819.811340332031,1819.478991508484,727.6438655853271
207,10.350000000000001,10.4,86050.56371307373,3891.6011962890625,1249.6434173583984,675.4581298828125
208,10.4,10.450000000000001,74969.02024841309,7866.620666503906,1624.3585147857666,947.8727025985718
209,10.450000000000001,10.5,77344.80902862549,6344.685607910156,417.08481311798096,0.0
210,10.5,10.55,84932.33093261719,4876.226219177246,923.6513423919678,222.04830169677734
211,10.55,10.600000000000001,86088.75372314453,5202.9747314453125,485.6279830932617,0.0
212,10.600000000000001,10.65,77627.3143157959,4904.466979980469,978.5156621932983,621.3673706054688
213,10.65,10.700000000000001,64418.09868621826,3296.9039306640625,732.1338577270508,564.3077602386475
214,10.700000000000001,10.75,83166.21719360352,4091.8496704101562,1136.084439277649,448.84596157073975
215,10.75,10.8,67171.80767822266,5039.690856933594,1146.9002828598022,436.879150390625
216,10.8,10.850000000000001,93257.16366577148,6773.89306640625,727.8040943145752,0.0
217,10.850000000000001,10.9,61826.11033630371,2569.14697265625,1331.7632656097412,557.8509521484375
218,10.9,10.950000000000001,66532.41179656982,4320.989929199219,541.8829898834229,13.700478553771973
219,10.950000000000001,11.0,75352.82722473145,7329.797332763672,985.5203170776367,97.00749206542969
220,11.0,11.05,49309.35159301758,5272.141418457031,567.8723106384277,101.5857162475586
221,11.05,11.100000000000001,66892.72898101807,5323.5181884765625,517.4705066680908,209.21897315979004
222,11.100000000000001,11.15,58431.27503967285,3580.8203735351562,714.1771850585938,548.3068380355835
223,11.15,11.200000000000001,48763.929931640625,1809.8980712890625,311.04119873046875,0.0
224,11.200000000000001,11.25,60650.94837188721,4998.248687744141,492.4180603027344,100.71556854248047
225,11.25,11.3,59974.10966491699,923.0107421875,768.4428939819336,406.9649314880371
226,11.3,11.350000000000001,54833.562103271484,1854.4068603515625,364.6440258026123,126.053635597229
227,11.350000000000001,11.4,48666.833557128906,2799.680908203125,755.073489189148,509.29156494140625
228,11.4,11.450000000000001,44345.80108642578,3772.843017578125,1455.2790870666504,864.3812665939331
229,11.450000000000001,11.5,44746.09729003906,4763.894592285156,112.57582092285156,229.92346096038818
230,11.5,11.55,37559.5209274292,6724.670227050781,686.5130615234375,577.2048950195312
231,11.55,11.600000000000001,51342.99658203125,969.736083984375,428.10023498535156,0.0
232,11.600000000000001,11.65,43006.098083496094,8803.371887207031,498.81671142578125,139.57510375976562
