    W        Theta    pip-p
 1320.0000   30.0000  0.1314E+01
 1320.0000   40.0000  0.1158E+01
 1320.0000   50.0000  0.1007E+01
 1320.0000   60.0000  0.8708E+00
 1320.0000   70.0000  0.7530E+00
 1320.0000   80.0000  0.6534E+00
 1320.0000   90.0000  0.5719E+00
 1320.0000  100.0000  0.5093E+00
 1320.0000  110.0000  0.4654E+00
 1320.0000  120.0000  0.4379E+00
 1320.0000  130.0000  0.4224E+00
 1320.0000  140.0000  0.4134E+00
 1320.0000  150.0000  0.4066E+00
 1320.0000  160.0000  0.3999E+00
 1320.0000  170.0000  0.3942E+00
 1320.0000  179.9000  0.3919E+00
 1330.0000    0.1000  0.1600E+01
 1330.0000   10.0000  0.1565E+01
 1330.0000   20.0000  0.1467E+01
 1330.0000   30.0000  0.1328E+01
 1330.0000   40.0000  0.1174E+01
 1330.0000   50.0000  0.1023E+01
 1330.0000   60.0000  0.8861E+00
 1330.0000   70.0000  0.7657E+00
 1330.0000   80.0000  0.6626E+00
 1330.0000   90.0000  0.5778E+00
 1330.0000  100.0000  0.5127E+00
 1330.0000  110.0000  0.4677E+00
 1330.0000  120.0000  0.4404E+00
 1330.0000  130.0000  0.4261E+00
 1330.0000  140.0000  0.4186E+00
 1330.0000  150.0000  0.4131E+00
 1330.0000  160.0000  0.4072E+00
 1330.0000  170.0000  0.4020E+00
 1330.0000  179.9000  0.3998E+00
 1340.0000    0.1000  0.1603E+01
 1340.0000   10.0000  0.1569E+01
 1340.0000   20.0000  0.1473E+01
 1340.0000   30.0000  0.1338E+01
 1340.0000   40.0000  0.1187E+01
 1340.0000   50.0000  0.1037E+01
 1340.0000   60.0000  0.8999E+00
 1340.0000   70.0000  0.7772E+00
 1340.0000   80.0000  0.6706E+00
 1340.0000   90.0000  0.5823E+00
 1340.0000  100.0000  0.5147E+00
 1340.0000  110.0000  0.4688E+00
 1340.0000  120.0000  0.4419E+00
 1340.0000  130.0000  0.4289E+00
 1340.0000  140.0000  0.4231E+00
 1340.0000  150.0000  0.4190E+00
 1340.0000  160.0000  0.4141E+00
