    W        Theta    pip-n       pi0-p
 1260.0000  100.0000  0.2253E-01  0.2443E+00
 1260.0000  110.0000  0.1889E-01  0.2462E+00
 1260.0000  120.0000  0.2366E-01  0.2594E+00
 1260.0000  130.0000  0.3762E-01  0.2824E+00
 1260.0000  140.0000  0.5869E-01  0.3124E+00
 1260.0000  150.0000  0.8266E-01  0.3449E+00
 1260.0000  160.0000  0.1045E+00  0.3743E+00
 1260.0000  170.0000  0.1196E+00  0.3949E+00
 1260.0000  179.9000  0.1250E+00  0.4022E+00
 1270.0000    0.1000  0.4625E-01  0.8378E+00
 1270.0000   10.0000  0.4809E-01  0.8160E+00
 1270.0000   20.0000  0.5295E-01  0.7553E+00
 1270.0000   30.0000  0.5919E-01  0.6684E+00
 1270.0000   40.0000  0.6486E-01  0.5712E+00
 1270.0000   50.0000  0.6830E-01  0.4779E+00
 1270.0000   60.0000  0.6817E-01  0.3978E+00
 1270.0000   70.0000  0.6355E-01  0.3352E+00
 1270.0000   80.0000  0.5427E-01  0.2906E+00
 1270.0000   90.0000  0.4176E-01  0.2621E+00
 1270.0000  100.0000  0.2942E-01  0.2480E+00
 1270.0000  110.0000  0.2173E-01  0.2466E+00
 1270.0000  120.0000  0.2241E-01  0.2568E+00
 1270.0000  130.0000  0.3270E-01  0.2771E+00
 1270.0000  140.0000  0.5082E-01  0.3049E+00
 1270.0000  150.0000  0.7258E-01  0.3359E+00
 1270.0000  160.0000  0.9288E-01  0.3642E+00
 1270.0000  170.0000  0.1071E+00  0.3841E+00
 1270.0000  179.9000  0.1122E+00  0.3912E+00
 1280.0000    0.1000  0.7143E-01  0.9290E+00
 1280.0000   10.0000  0.7300E-01  0.9039E+00
 1280.0000   20.0000  0.7709E-01  0.8340E+00
 1280.0000   30.0000  0.8214E-01  0.7344E+00
 1280.0000   40.0000  0.8645E-01  0.6234E+00
 1280.0000   50.0000  0.8862E-01  0.5173E+00
 1280.0000   60.0000  0.8740E-01  0.4267E+00
 1280.0000   70.0000  0.8159E-01  0.3560E+00
 1280.0000   80.0000  0.7051E-01  0.3053E+00
 1280.0000   90.0000  0.5521E-01  0.2721E+00
 1280.0000  100.0000  0.3902E-01  0.2540E+00
 1280.0000  110.0000  0.2679E-01  0.2490E+00
 1280.0000  120.0000  0.2283E-01  0.2558E+00
 1280.0000  130.0000  0.2894E-01  0.2731E+00
 1280.0000  140.0000  0.4362E-01  0.2983E+00
 1280.0000  150.0000  0.6278E-01  0.3271E+00
 1280.0000  160.0000  0.8126E-01  0.3540E+00
 1280.0000  170.0000  0.9442E-01  0.3729E+00
 1280.0000  179.9000  0.9917E-01  0.3798E+00
 1290.0000    0.1000  0.1101E+00  0.1031E+01
 1290.0000   10.0000  0.1109E+00  0.1002E+01
 1290.0000   20.0000  0.1131E+00  0.9220E+00
 1290.0000   30.0000  0.1154E+00  0.8081E+00
 1290.0000   40.0000  0.1167E+00  0.6818E+00
 1290.0000   50.0000  0.1162E+00  0.5617E+00
 1290.0000   60.0000  0.1127E+00  0.4596E+00
 1290.0000   70.0000  0.1049E+00  0.3802E+00
 1290.0000   80.0000  0.9129E-01  0.3229E+00
 1290.0000   90.0000  0.7256E-01  0.2848E+00
 1290.0000  100.0000  0.5188E-01  0.2625E+00
 1290.0000  110.0000  0.3447E-01  0.2536E+00
 1290.0000  120.0000  0.2522E-01  0.2567E+00
 1290.0000  130.0000  0.2652E-01  0.2705E+00
 1290.0000  140.0000  0.3721E-01  0.2927E+00
 1290.0000  150.0000  0.5331E-01  0.3191E+00
 1290.0000  160.0000  0.6966E-01  0.3441E+00
 1290.0000  170.0000  0.8155E-01  0.3619E+00
 1290.0000  179.9000  0.8587E-01  0.3683E+00
 1300.0000    0.1000  0.1659E+00  0.1144E+01
 1300.0000   10.0000  0.1655E+00  0.1111E+01
 1300.0000   20.0000  0.1642E+00  0.1020E+01
 1300.0000   30.0000  0.1617E+00  0.8900E+00
 1300.0000   40.0000  0.1579E+00  0.7468E+00
 1300.0000   50.0000  0.1529E+00  0.6114E+00
 1300.0000   60.0000  0.1458E+00  0.4968E+00
 1300.0000   70.0000  0.1347E+00  0.4079E+00
 1300.0000   80.0000  0.1177E+00  0.3437E+00
 1300.0000   90.0000  0.9470E-01  0.3002E+00
 1300.0000  100.0000  0.6871E-01  0.2735E+00
 1300.0000  110.0000  0.4530E-01  0.2606E+00
 1300.0000  120.0000  0.3001E-01  0.2598E+00
 1300.0000  130.0000  0.2578E-01  0.2700E+00
 1300.0000  140.0000  0.3189E-01  0.2888E+00
 1300.0000  150.0000  0.4447E-01  0.3124E+00
 1300.0000  160.0000  0.5836E-01  0.3352E+00
 1300.0000  170.0000  0.6881E-01  0.3516E+00
 1300.0000  179.9000  0.7265E-01  0.3575E+00
 1310.0000    0.1000  0.2430E+00  0.1269E+01
 1310.0000   10.0000  0.2407E+00  0.1231E+01
 1310.0000   20.0000  0.2339E+00  0.1127E+01
 1310.0000   30.0000  0.2240E+00  0.9799E+00
 1310.0000   40.0000  0.2126E+00  0.8183E+00
 1310.0000   50.0000  0.2009E+00  0.6662E+00
 1310.0000   60.0000  0.1884E+00  0.5381E+00
 1310.0000   70.0000  0.1728E+00  0.4391E+00
 1310.0000   80.0000  0.1511E+00  0.3675E+00
 1310.0000   90.0000  0.1227E+00  0.3186E+00
 1310.0000  100.0000  0.9030E-01  0.2874E+00
 1310.0000  110.0000  0.5995E-01  0.2704E+00
 1310.0000  120.0000  0.3776E-01  0.2656E+00
 1310.0000  130.0000  0.2731E-01  0.2720E+00
 1310.0000  140.0000  0.2824E-01  0.2873E+00
 1310.0000  150.0000  0.3688E-01  0.3079E+00
 1310.0000  160.0000  0.4803E-01  0.3283E+00
 1310.0000  170.0000  0.5686E-01  0.3432E+00
 1310.0000  179.9000  0.6017E-01  0.3487E+00
 1320.0000    0.1000  0.3454E+00  0.1403E+01
 1320.0000   10.0000  0.3401E+00  0.1360E+01
 1320.0000   20.0000  0.3257E+00  0.1242E+01
 1320.0000   30.0000  0.3054E+00  0.1077E+01
 1320.0000   40.0000  0.2833E+00  0.8956E+00
 1320.0000   50.0000  0.2624E+00  0.7256E+00
 1320.0000   60.0000  0.2426E+00  0.5831E+00
 1320.0000   70.0000  0.2207E+00  0.4734E+00
 1320.0000   80.0000  0.1928E+00  0.3941E+00
 1320.0000   90.0000  0.1575E+00  0.3396E+00
 1320.0000  100.0000  0.1174E+00  0.3039E+00
 1320.0000  110.0000  0.7908E-01  0.2830E+00
 1320.0000  120.0000  0.4915E-01  0.2745E+00
 1320.0000  130.0000  0.3184E-01  0.2772E+00
 1320.0000  140.0000  0.2714E-01  0.2892E+00
 1320.0000  150.0000  0.3151E-01  0.3069E+00
 1320.0000  160.0000  0.3972E-01  0.3251E+00
 1320.0000  170.0000  0.4684E-01  0.3385E+00
 1320.0000  179.9000  0.4959E-01  0.3434E+00
 1330.0000    0.1000  0.4761E+00  0.1544E+01
 1330.0000   10.0000  0.4670E+00  0.1496E+01
 1330.0000   20.0000  0.4422E+00  0.1364E+01
 1330.0000   30.0000  0.4081E+00  0.1179E+01
 1330.0000   40.0000  0.3720E+00  0.9766E+00
 1330.0000   50.0000  0.3391E+00  0.7879E+00
 1330.0000   60.0000  0.3096E+00  0.6305E+00
 1330.0000   70.0000  0.2795E+00  0.5097E+00
 1330.0000   80.0000  0.2436E+00  0.4226E+00
 1330.0000   90.0000  0.1997E+00  0.3626E+00
 1330.0000  100.0000  0.1506E+00  0.3228E+00
 1330.0000  110.0000  0.1032E+00  0.2984E+00
 1330.0000  120.0000  0.6482E-01  0.2867E+00
