    W        Theta    pi0-p       pip-n
 1190.0000   30.0000  0.2518E+00  0.3485E+00
 1190.0000   40.0000  0.2177E+00  0.3233E+00
 1190.0000   50.0000  0.1834E+00  0.2987E+00
 1190.0000   60.0000  0.1519E+00  0.2777E+00
 1190.0000   70.0000  0.1245E+00  0.2627E+00
 1190.0000   80.0000  0.1013E+00  0.2553E+00
 1190.0000   90.0000  0.8219E-01  0.2561E+00
 1190.0000  100.0000  0.6656E-01  0.2653E+00
 1190.0000  110.0000  0.5385E-01  0.2828E+00
 1190.0000  120.0000  0.4337E-01  0.3075E+00
 1190.0000  130.0000  0.3446E-01  0.3378E+00
 1190.0000  140.0000  0.2659E-01  0.3707E+00
 1190.0000  150.0000  0.1962E-01  0.4027E+00
 1190.0000  160.0000  0.1384E-01  0.4297E+00
 1190.0000  170.0000  0.9935E-02  0.4477E+00
 1190.0000  179.9000  0.8543E-02  0.4540E+00
 1200.0000    0.1000  0.3295E+00  0.4259E+00
 1200.0000   10.0000  0.3217E+00  0.4192E+00
 1200.0000   20.0000  0.3000E+00  0.4005E+00
 1200.0000   30.0000  0.2688E+00  0.3731E+00
 1200.0000   40.0000  0.2333E+00  0.3417E+00
 1200.0000   50.0000  0.1981E+00  0.3109E+00
 1200.0000   60.0000  0.1657E+00  0.2843E+00
 1200.0000   70.0000  0.1373E+00  0.2647E+00
 1200.0000   80.0000  0.1131E+00  0.2534E+00
 1200.0000   90.0000  0.9266E-01  0.2513E+00
 1200.0000  100.0000  0.7561E-01  0.2585E+00
 1200.0000  110.0000  0.6149E-01  0.2746E+00
 1200.0000  120.0000  0.4974E-01  0.2988E+00
 1200.0000  130.0000  0.3971E-01  0.3292E+00
 1200.0000  140.0000  0.3085E-01  0.3630E+00
 1200.0000  150.0000  0.2295E-01  0.3963E+00
 1200.0000  160.0000  0.1639E-01  0.4246E+00
 1200.0000  170.0000  0.1192E-01  0.4436E+00
 1200.0000  179.9000  0.1033E-01  0.4503E+00
 1210.0000    0.1000  0.3446E+00  0.4658E+00
 1210.0000   10.0000  0.3366E+00  0.4576E+00
 1210.0000   20.0000  0.3142E+00  0.4348E+00
 1210.0000   30.0000  0.2823E+00  0.4014E+00
 1210.0000   40.0000  0.2463E+00  0.3631E+00
 1210.0000   50.0000  0.2108E+00  0.3255E+00
 1210.0000   60.0000  0.1782E+00  0.2929E+00
 1210.0000   70.0000  0.1495E+00  0.2682E+00
 1210.0000   80.0000  0.1245E+00  0.2530E+00
 1210.0000   90.0000  0.1030E+00  0.2478E+00
 1210.0000  100.0000  0.8461E-01  0.2525E+00
 1210.0000  110.0000  0.6916E-01  0.2670E+00
 1210.0000  120.0000  0.5620E-01  0.2903E+00
 1210.0000  130.0000  0.4515E-01  0.3205E+00
 1210.0000  140.0000  0.3540E-01  0.3548E+00
 1210.0000  150.0000  0.2670E-01  0.3889E+00
 1210.0000  160.0000  0.1943E-01  0.4182E+00
 1210.0000  170.0000  0.1445E-01  0.4380E+00
 1210.0000  179.9000  0.1266E-01  0.4450E+00
 1220.0000    0.1000  0.3549E+00  0.5111E+00
 1220.0000   10.0000  0.3467E+00  0.5013E+00
 1220.0000   20.0000  0.3242E+00  0.4737E+00
 1220.0000   30.0000  0.2922E+00  0.4336E+00
 1220.0000   40.0000  0.2565E+00  0.3877E+00
 1220.0000   50.0000  0.2215E+00  0.3427E+00
 1220.0000   60.0000  0.1894E+00  0.3037E+00
 1220.0000   70.0000  0.1607E+00  0.2737E+00
 1220.0000   80.0000  0.1354E+00  0.2542E+00
 1220.0000   90.0000  0.1130E+00  0.2456E+00
 1220.0000  100.0000  0.9339E-01  0.2478E+00
 1220.0000  110.0000  0.7668E-01  0.2604E+00
 1220.0000  120.0000  0.6262E-01  0.2823E+00
 1220.0000  130.0000  0.5066E-01  0.3119E+00
 1220.0000  140.0000  0.4016E-01  0.3462E+00
 1220.0000  150.0000  0.3078E-01  0.3808E+00
 1220.0000  160.0000  0.2290E-01  0.4108E+00
 1220.0000  170.0000  0.1746E-01  0.4312E+00
 1220.0000  179.9000  0.1550E-01  0.4385E+00
 1230.0000    0.1000  0.3601E+00  0.5622E+00
 1230.0000   10.0000  0.3520E+00  0.5505E+00
 1230.0000   20.0000  0.3298E+00  0.5176E+00
 1230.0000   30.0000  0.2985E+00  0.4700E+00
 1230.0000   40.0000  0.2639E+00  0.4158E+00
 1230.0000   50.0000  0.2301E+00  0.3628E+00
 1230.0000   60.0000  0.1990E+00  0.3168E+00
 1230.0000   70.0000  0.1710E+00  0.2812E+00
 1230.0000   80.0000  0.1455E+00  0.2572E+00
 1230.0000   90.0000  0.1224E+00  0.2451E+00
 1230.0000  100.0000  0.1018E+00  0.2445E+00
 1230.0000  110.0000  0.8389E-01  0.2548E+00
 1230.0000  120.0000  0.6883E-01  0.2751E+00
 1230.0000  130.0000  0.5611E-01  0.3036E+00
 1230.0000  140.0000  0.4500E-01  0.3375E+00
